academic_year,major_id,major,owning_academic_unit_id,owning_academic_unit_name,department_aggregation_eligible,estimation_status,estimated_graduates,capstone_section_count,capstone_enrollment_observed,estimation_course_ids,estimation_method,confidence,limitations
2022-23,undergraduate_major:health_studies,Health Studies,,,False,not_observed,,0,,"[""HEAL 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,undergraduate_major:history,History,academic_unit:department_history,Department of History,True,estimated,43,4,43,"[""HIST 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,undergraduate_major:integrative_biology,Integrative Biology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2022-23,undergraduate_major:interdisciplinary_studies,Interdisciplinary Studies,academic_unit:office_provost,Office of the Provost,False,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2022-23,undergraduate_major:international_affairs,International Affairs,academic_unit:department_political_science,Department of Political Science,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2022-23,undergraduate_major:kinesiology,Kinesiology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2022-23,undergraduate_major:leadership_studies,Leadership Studies,academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2022-23,undergraduate_major:management,Management,academic_unit:department_management_marketing,Department of Management and Marketing,True,estimated,70,4,70,"[""MGMT 491""]",unique_major_specific_required_capstone,medium,"[""Uses the one required capstone unique to this major and does not add the shared degree capstone.""]"
2022-23,undergraduate_major:marketing,Marketing,academic_unit:department_management_marketing,Department of Management and Marketing,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2022-23,undergraduate_major:mathematics,Mathematics,academic_unit:department_mathematics,Department of Mathematics,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2022-23,undergraduate_major:music,Music,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",True,excluded_unresolved_pathway,,0,,[],excluded,unavailable,"[""At least one governed pathway lacks an estimable capstone.""]"
2022-23,undergraduate_major:neuroscience,Neuroscience,,,False,estimated,27,2,27,"[""NEUR 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,undergraduate_major:organismal_environmental_biology,Organismal and Environmental Biology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2022-23,undergraduate_major:philosophy,Philosophy,academic_unit:department_philosophy_religion,Department of Philosophy and Religion,True,estimated,23,2,23,"[""PHIL 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,undergraduate_major:political_science,Political Science,academic_unit:department_political_science,Department of Political Science,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2022-23,undergraduate_major:psychology,Psychology,academic_unit:department_psychology,Department of Psychology,True,estimated,151,10,151,"[""PSYC 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,undergraduate_major:social_work,Social Work,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,estimated,17,1,17,"[""SOWK 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,undergraduate_major:sociology,Sociology,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2022-23,undergraduate_major:spanish,Spanish,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2022-23,undergraduate_major:studio_art,Studio Art,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",True,estimated,10,1,10,"[""FNAR 488""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2022-23,undergraduate_major:theater,Theater,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",True,estimated,27,2,27,"[""THEA 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,program.computer_engineering,Computer Engineering,academic_unit:sec,School of Engineering and Computing,True,estimated,9,2,9,"[""CPEN 498""]",terminal_course_in_required_sequence,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,program.computer_science,Computer Science,academic_unit:sec,School of Engineering and Computing,True,estimated,41,2,41,"[""CPSC 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,program.cybersecurity,Cybersecurity,academic_unit:sec,School of Engineering and Computing,True,estimated,10,2,10,"[""CYBR 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,program.electrical_engineering,Electrical Engineering,academic_unit:sec,School of Engineering and Computing,True,estimated,12,2,12,"[""EENG 498""]",terminal_course_in_required_sequence,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,program.information_science,Information Science,academic_unit:sec,School of Engineering and Computing,True,estimated,28,2,28,"[""CPSC 445""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,program.physics,Physics,academic_unit:sec,School of Engineering and Computing,True,estimated,13,2,13,"[""PHYS 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,undergraduate_major:accounting,Accounting,academic_unit:department_accounting_finance,Department of Accounting and Finance,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2023-24,undergraduate_major:american_studies,American Studies,academic_unit:office_provost,Office of the Provost,False,estimated,16,2,16,"[""AMST 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,undergraduate_major:anthropology,Anthropology,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2023-24,undergraduate_major:art_history,Art History,academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,True,estimated,5,1,5,"[""FNAR 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,undergraduate_major:biochemistry,Biochemistry,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2023-24,undergraduate_major:biology,Biology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2023-24,undergraduate_major:cellular_molecular_physiological_biology,"Cellular, Molecular and Physiological Biology",academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2023-24,undergraduate_major:chemistry,Chemistry,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,estimated,7,1,7,"[""CHEM 492""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,undergraduate_major:classical_studies,Classical Studies,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2023-24,undergraduate_major:communication,Communication,academic_unit:department_communication_studies,Department of Communication Studies,True,estimated,112,6,112,"[""COMM 452""]",required_capstone_enrollment,medium,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,undergraduate_major:computational_applied_mathematics,Computational and Applied Mathematics,academic_unit:department_mathematics,Department of Mathematics,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2023-24,undergraduate_major:criminology,Criminology,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2023-24,undergraduate_major:economics,Economics,academic_unit:department_economics,Department of Economics,True,estimated,41,3,41,"[""ECON 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,undergraduate_major:english,English,academic_unit:department_english,Department of English,True,estimated,35,2,35,"[""ENGL 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,undergraduate_major:environmental_studies,Environmental Studies,academic_unit:office_provost,Office of the Provost,False,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2023-24,undergraduate_major:finance,Finance,academic_unit:department_accounting_finance,Department of Accounting and Finance,True,estimated,53,3,53,"[""FINC 428""]",unique_major_specific_required_capstone,medium,"[""Uses the one required capstone unique to this major and does not add the shared degree capstone.""]"
2023-24,undergraduate_major:french,French,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2023-24,undergraduate_major:german,German,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2023-24,undergraduate_major:global_commerce_culture,Global Commerce and Culture,academic_unit:office_provost,Office of the Provost,False,estimated,12,1,12,"[""IDST 480""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,undergraduate_major:health_studies,Health Studies,,,False,not_observed,,0,,"[""HEAL 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,undergraduate_major:history,History,academic_unit:department_history,Department of History,True,estimated,47,4,47,"[""HIST 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,undergraduate_major:integrative_biology,Integrative Biology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2023-24,undergraduate_major:interdisciplinary_studies,Interdisciplinary Studies,academic_unit:office_provost,Office of the Provost,False,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2023-24,undergraduate_major:international_affairs,International Affairs,academic_unit:department_political_science,Department of Political Science,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2023-24,undergraduate_major:kinesiology,Kinesiology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2023-24,undergraduate_major:leadership_studies,Leadership Studies,academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2023-24,undergraduate_major:management,Management,academic_unit:department_management_marketing,Department of Management and Marketing,True,estimated,41,3,41,"[""MGMT 491""]",unique_major_specific_required_capstone,medium,"[""Uses the one required capstone unique to this major and does not add the shared degree capstone.""]"
2023-24,undergraduate_major:marketing,Marketing,academic_unit:department_management_marketing,Department of Management and Marketing,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2023-24,undergraduate_major:mathematics,Mathematics,academic_unit:department_mathematics,Department of Mathematics,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2023-24,undergraduate_major:music,Music,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",True,excluded_unresolved_pathway,,0,,[],excluded,unavailable,"[""At least one governed pathway lacks an estimable capstone.""]"
2023-24,undergraduate_major:neuroscience,Neuroscience,,,False,estimated,22,2,22,"[""NEUR 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,undergraduate_major:organismal_environmental_biology,Organismal and Environmental Biology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2023-24,undergraduate_major:philosophy,Philosophy,academic_unit:department_philosophy_religion,Department of Philosophy and Religion,True,estimated,11,2,11,"[""PHIL 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,undergraduate_major:political_science,Political Science,academic_unit:department_political_science,Department of Political Science,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2023-24,undergraduate_major:psychology,Psychology,academic_unit:department_psychology,Department of Psychology,True,estimated,159,9,159,"[""PSYC 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,undergraduate_major:social_work,Social Work,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,estimated,20,1,20,"[""SOWK 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,undergraduate_major:sociology,Sociology,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2023-24,undergraduate_major:spanish,Spanish,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2023-24,undergraduate_major:studio_art,Studio Art,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",True,estimated,18,1,18,"[""FNAR 488""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2023-24,undergraduate_major:theater,Theater,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",True,estimated,25,2,25,"[""THEA 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,program.computer_engineering,Computer Engineering,academic_unit:sec,School of Engineering and Computing,True,estimated,14,2,14,"[""CPEN 498""]",terminal_course_in_required_sequence,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,program.computer_science,Computer Science,academic_unit:sec,School of Engineering and Computing,True,estimated,64,3,64,"[""CPSC 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,program.cybersecurity,Cybersecurity,academic_unit:sec,School of Engineering and Computing,True,estimated,20,2,20,"[""CYBR 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,program.electrical_engineering,Electrical Engineering,academic_unit:sec,School of Engineering and Computing,True,estimated,12,1,12,"[""EENG 498""]",terminal_course_in_required_sequence,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,program.information_science,Information Science,academic_unit:sec,School of Engineering and Computing,True,estimated,23,2,23,"[""CPSC 445""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,program.physics,Physics,academic_unit:sec,School of Engineering and Computing,True,estimated,4,2,4,"[""PHYS 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,undergraduate_major:accounting,Accounting,academic_unit:department_accounting_finance,Department of Accounting and Finance,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2024-25,undergraduate_major:american_studies,American Studies,academic_unit:office_provost,Office of the Provost,False,estimated,20,2,20,"[""AMST 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,undergraduate_major:anthropology,Anthropology,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2024-25,undergraduate_major:art_history,Art History,academic_unit:department_fine_art_art_history,Department of Fine Arts and Art History,True,estimated,4,1,4,"[""FNAR 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,undergraduate_major:biochemistry,Biochemistry,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2024-25,undergraduate_major:biology,Biology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2024-25,undergraduate_major:cellular_molecular_physiological_biology,"Cellular, Molecular and Physiological Biology",academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2024-25,undergraduate_major:chemistry,Chemistry,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,estimated,8,1,8,"[""CHEM 492""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,undergraduate_major:classical_studies,Classical Studies,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2024-25,undergraduate_major:communication,Communication,academic_unit:department_communication_studies,Department of Communication Studies,True,estimated,91,6,91,"[""COMM 452""]",required_capstone_enrollment,medium,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,undergraduate_major:computational_applied_mathematics,Computational and Applied Mathematics,academic_unit:department_mathematics,Department of Mathematics,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2024-25,undergraduate_major:criminology,Criminology,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2024-25,undergraduate_major:economics,Economics,academic_unit:department_economics,Department of Economics,True,estimated,35,3,35,"[""ECON 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,undergraduate_major:english,English,academic_unit:department_english,Department of English,True,estimated,21,2,21,"[""ENGL 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,undergraduate_major:environmental_studies,Environmental Studies,academic_unit:office_provost,Office of the Provost,False,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2024-25,undergraduate_major:finance,Finance,academic_unit:department_accounting_finance,Department of Accounting and Finance,True,estimated,49,2,49,"[""FINC 428""]",unique_major_specific_required_capstone,medium,"[""Uses the one required capstone unique to this major and does not add the shared degree capstone.""]"
2024-25,undergraduate_major:french,French,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2024-25,undergraduate_major:german,German,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2024-25,undergraduate_major:global_commerce_culture,Global Commerce and Culture,academic_unit:office_provost,Office of the Provost,False,estimated,12,1,12,"[""IDST 480""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,undergraduate_major:health_studies,Health Studies,,,False,not_observed,,0,,"[""HEAL 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,undergraduate_major:history,History,academic_unit:department_history,Department of History,True,estimated,31,2,31,"[""HIST 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,undergraduate_major:integrative_biology,Integrative Biology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2024-25,undergraduate_major:interdisciplinary_studies,Interdisciplinary Studies,academic_unit:office_provost,Office of the Provost,False,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2024-25,undergraduate_major:international_affairs,International Affairs,academic_unit:department_political_science,Department of Political Science,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2024-25,undergraduate_major:kinesiology,Kinesiology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2024-25,undergraduate_major:leadership_studies,Leadership Studies,academic_unit:department_leadership_american_studies,Department of Leadership and American Studies,True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2024-25,undergraduate_major:management,Management,academic_unit:department_management_marketing,Department of Management and Marketing,True,estimated,47,3,47,"[""MGMT 491""]",unique_major_specific_required_capstone,medium,"[""Uses the one required capstone unique to this major and does not add the shared degree capstone.""]"
2024-25,undergraduate_major:marketing,Marketing,academic_unit:department_management_marketing,Department of Management and Marketing,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2024-25,undergraduate_major:mathematics,Mathematics,academic_unit:department_mathematics,Department of Mathematics,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2024-25,undergraduate_major:music,Music,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",True,excluded_unresolved_pathway,,0,,[],excluded,unavailable,"[""At least one governed pathway lacks an estimable capstone.""]"
2024-25,undergraduate_major:neuroscience,Neuroscience,,,False,estimated,25,2,25,"[""NEUR 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,undergraduate_major:organismal_environmental_biology,Organismal and Environmental Biology,academic_unit:department_biology_chemistry_environmental_science,"Department of Biology, Chemistry, and Environmental Science",True,excluded_no_identifiable_capstone,,0,,[],excluded,unavailable,"[""The governed registry identifies no required capstone.""]"
2024-25,undergraduate_major:philosophy,Philosophy,academic_unit:department_philosophy_religion,Department of Philosophy and Religion,True,estimated,18,2,18,"[""PHIL 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,undergraduate_major:political_science,Political Science,academic_unit:department_political_science,Department of Political Science,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2024-25,undergraduate_major:psychology,Psychology,academic_unit:department_psychology,Department of Psychology,True,estimated,136,9,136,"[""PSYC 490""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,undergraduate_major:social_work,Social Work,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,estimated,16,1,16,"[""SOWK 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,undergraduate_major:sociology,Sociology,academic_unit:department_sociology_social_work_anthropology,"Department of Sociology, Social Work and Anthropology",True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2024-25,undergraduate_major:spanish,Spanish,academic_unit:department_modern_classical_languages_literatures,Department of Modern and Classical Languages and Literatures,True,excluded_shared_capstone,,0,,[],excluded,unavailable,"[""One or more capstone courses are shared with another governed major and schedule enrollment has no major field.""]"
2024-25,undergraduate_major:studio_art,Studio Art,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",True,estimated,14,1,14,"[""FNAR 488""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2024-25,undergraduate_major:theater,Theater,academic_unit:department_music_theatre_dance,"Department of Music, Theatre, and Dance",True,estimated,21,2,21,"[""THEA 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2025-26,program.computer_engineering,Computer Engineering,academic_unit:sec,School of Engineering and Computing,True,estimated,4,1,4,"[""CPEN 498""]",terminal_course_in_required_sequence,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2025-26,program.computer_science,Computer Science,academic_unit:sec,School of Engineering and Computing,True,estimated,50,2,50,"[""CPSC 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2025-26,program.cybersecurity,Cybersecurity,academic_unit:sec,School of Engineering and Computing,True,estimated,28,2,28,"[""CYBR 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2025-26,program.electrical_engineering,Electrical Engineering,academic_unit:sec,School of Engineering and Computing,True,estimated,14,2,14,"[""EENG 498""]",terminal_course_in_required_sequence,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2025-26,program.information_science,Information Science,academic_unit:sec,School of Engineering and Computing,True,estimated,19,2,19,"[""CPSC 445""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
2025-26,program.physics,Physics,academic_unit:sec,School of Engineering and Computing,True,estimated,15,2,15,"[""PHYS 498""]",required_capstone_enrollment,high,"[""Enrollment is a proxy for graduates, not a degree-conferral fact.""]"
