CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,Status,Low Cost Textbook,Capacity,Enrolled,Instructor Type,Term
8690,MATH 240,2,Intermediate Calculus,3,"GE, LLF, LLFM, MATH",Lec,MW,1000-1115,Forbes Hall 2070A,James Kelly,20,OPEN,,25,5,Full Time,Spring Semester 2026
8403,DANC 395,1,Special Topics,3,,Lec,TR,1330-1445,Ferguson Center for the Arts T177,Laura Lloyd,0,CLOSED,,10,10,Adjunct,Spring Semester 2021
8078,BIOL 211L,6,Principles of Biology I Lab,1,,Lab,R,1800-2150,Forbes Hall 1009,Ricardo Quintanilla,7,OPEN,,24,17,Adjunct,Spring Semester 2021
8257,CLST 201,1,The Mythic Imagination,3,"AIWT, GE, HUMN, LETR, OR, XCLS",Lec,MWF,0900-0950,Joseph W. Luter III Hall 170,Jana Adamitis,0,CLOSED,,24,24,Full Time,Spring Semester 2021
8577,HIST 211,2,Comic Books & American Society,3,AICE,Lec,MWF,1100-1150,Lewis McMurran Hall ,Brian Puaca,15,OPEN,,15,0,Full Time,Spring Semester 2027
8007,MATH 240,2,Intermediate Calculus,4,"GE, LLF, LLFM, MATH",Lec,TR,1500-1645,Joseph W. Luter III Hall 264,Iordanka Panayotova,7,OPEN,,25,18,Full Time,Spring Semester 2022
8752,MUSC 104,1,Chamber Ensemble,1,"GE, OR",Lab,,-,To Be Arranged ,Ben Corbin,9,OPEN,,16,7,Full Time,Spring Semester 2026
9053,ENGL 353,1,WI: Writing for the Profession,3,WI,Lec,TR,1500-1615,Lewis McMurran Hall 260,April Cobos,0,CLOSED,,19,19,Full Time,Fall Semester 2023
8992,BUSN 305,3,Introduction to Data Analytics,3,,Lec,TR,1930-2045,Joseph W. Luter III Hall 105,Donna Lamprecht,14,OPEN,,23,9,Adjunct,Fall Semester 2021
9311,SOCL 499,1,Indep Research /Res Internship,1,,Ind,,-,To Be Arranged ,Diane Griffiths,-1,CLOSED,,0,1,Full Time,Spring Semester 2025
8422,MATH 235,2,Applied Matrix Techniques,3,"LLF, LLFM, MATH",Lec,TR,0800-0915,Joseph W. Luter III Hall 170,Jessica Kelly,2,OPEN,,19,17,Full Time,Fall Semester 2023
8690,IDST 377,1,Advanced Museum Studies,3,,Lec,TR,1800-1915,Paul & Rosemary Trible Library 1210,David Salomon,2,OPEN,,16,14,Adjunct,Spring Semester 2021
9296,PERC 432,1,Applied Music: Percussion,1,APPL,Lab,,-,To Be Arranged ,Jim Jacobson,-1,CLOSED,,0,1,Adjunct,Spring Semester 2022
8360,HONR 490,1,HNRS WI: Probl in Modern World,3,"HON, LOW, WI",Lec,TR,1100-1215,Lewis McMurran Hall 200D,Hussam Timani,-1,CLOSED,YES,15,16,Full Time,Spring Semester 2024
8458,PSYC 208,1M,Child Development,3,"AIII, XPSY",Lec,MWF,0800-0850,Forbes Hall 2074,Shelia Greenlee,18,OPEN,,45,27,Full Time,Fall Semester 2023
9023,SPAN 201,1,Intermediate Spanish I,3,"GE, LETR, LLF, LLFL, PROF",Lec,TR,0930-1045,Lewis McMurran Hall 357,Elaine Miller,7,OPEN,,19,12,Full Time,Spring Semester 2026
8823,MKTG 330,1,WI:Digital Marketing,3,WI,Lec,MWF,1100-1150,Joseph W. Luter III Hall 105,Matt Hettche,-3,CLOSED,,18,21,Full Time,Spring Semester 2021
8629,HONR 100,6C,Liberal Arts as Journey,3,HON,Lec,MWF,1000-1050,Paul & Rosemary Trible Library 1210,George Kuster,0,CLOSED,,19,19,Full Time,Fall Semester 2021
9113,MUSC 108,1,Jazz Combo,1,"GE, OR",Lab,MWF,1400-1450,Ferguson Center for the Arts R106,Carl Lundgren,5,OPEN,,15,10,Adjunct,Fall Semester 2021
8633,COMM 405,1,Qualitative Research Methods,3,,Lec,MWF,0900-0950,Forbes Hall 2014,Linda Manning,4,OPEN,,24,20,Full Time,Fall Semester 2024
9392,MGMT 495,3,Advanced Topics in Management,3,,Lec,MW,1930-2045,Paul & Rosemary Trible Library 208,Timothy Davidson,15,OPEN,,19,4,Adjunct,Spring Semester 2022
9084,THEA 380,2,Production,0,"LETR, LOW",Pra,MTWRF,1900-2300,To Be Arranged ,Gregg Lloyd,-11,CLOSED,YES,0,11,Full Time,Fall Semester 2024
9187,RSTD 232,3,Visions of Christianity,3,"AIWT, GE, LETR, LOW, XPRS",Lec,TR,1330-1445,Lewis McMurran Hall 366,Patrick Gardner,-2,CLOSED,YES,18,20,Full Time,Spring Semester 2024
3035,CPSC 250L,ON1,Prog for Data Manipulation Lab,1,"AIIF, XPCE",Lab,,-,Asynchronous Online Course ,Edward Brash,-9,CLOSED,,12,21,Full Time,Summer Term 1 2024
9157,HONR 490,1,HNRS WI: Probl in Modern World,3,"HON, WI",Lec,MW,1600-1715,Lewis McMurran Hall 207,Bill Connell,0,CLOSED,,15,15,Full Time,Fall Semester 2021
8829,PHYS 144,2,Introduction to Astronomy,3,"AINW, LOW, OR, XNAT",Lec,TR,1630-1745,Science & Engineering Research 1181,Avery McElhenny,-1,CLOSED,YES,48,49,Adjunct,Spring Semester 2026
8325,CPSC 250L,3,Prog for Data Manipulation Lab,1,"AIIF, XPCE",Lab,W,2000-2145,Joseph W. Luter III Hall 236,Daniel Belsky,2,OPEN,,24,22,Full Time,Fall Semester 2026
8062,BIOL 211L,4,Principles of Biology I Lab,1,,Lab,T,1800-2150,Forbes Hall ,Russ Burke,20,OPEN,,20,0,Adjunct,Spring Semester 2027
9381,ENGL 499,1,Independent Study,1,LETR,Ind,,-,To Be Arranged ,Mary Wright,-1,CLOSED,,0,1,Full Time,Fall Semester 2024
8343,PSYC 208,1M,Child Development,3,"AIII, XPSY",Lec,MWF,0800-0850,Forbes Hall 2074,Shelia Greenlee,6,OPEN,,45,39,Full Time,Fall Semester 2024
8368,MLSC 302,1,Ldshp in Changing Environments,3,LOW,Lec,TR,0800-0915,Lewis McMurran Hall 112,Jonathan Gosselin,1,OPEN,YES,19,18,Adjunct,Spring Semester 2024
8651,HIST 304,1,U.S. Women's History,3,AMER,Lec,TR,1330-1445,Lewis McMurran Hall 307,Laura Puaca,0,CLOSED,,19,19,Adjunct,Spring Semester 2023
8644,LDSP 280,1,Followership,3,LDSP,Lec,TR,0930-1045,Paul & Rosemary Trible Library 208,Lori Throupe,0,CLOSED,,26,26,Adjunct,Spring Semester 2026
8168,CPEN 214,1,Digital Logic Design,3,,Lec,MWF,1300-1350,Joseph W. Luter III Hall 269,Hessam Keshtkar Vanashi,-3,CLOSED,,34,37,Full Time,Spring Semester 2022
8611,CHEM 122L,12,General Chemistry Lab II,1,"AINW, GE, OR",Lab,R,1800-2150,Forbes Hall 3009,Insu Hahn,1,OPEN,,24,23,Adjunct,Spring Semester 2022
9343,MUSC 122,1,String Chamber Music,1,,Lab,,-,To Be Arranged ,Jacob Tews,16,OPEN,,19,3,Full Time,Fall Semester 2022
8847,CPEN 214,1,Digital Logic Design,3,,Lec,TR,1630-1745,Joseph W. Luter III Hall 269,Hessam Keshtkar Vanashi,5,OPEN,,33,28,Full Time,Fall Semester 2024
8019,POLS 202,1,State and Local Government,3,,Lec,T,1800-2100,Lewis McMurran Hall 216,William Reiske,1,OPEN,,16,15,Adjunct,Spring Semester 2023
8854,HIST 211,2,Comic Books & American Society,3,AICE,Lec,MWF,1300-1350,Lewis McMurran Hall 164,Brian Puaca,0,CLOSED,,19,19,Full Time,Fall Semester 2023
9155,PHIL 384,3,Medical Ethics,3,"AIII, AIWT, LETR, PROF, XPRS",Lec,TR,1630-1745,Joseph W. Luter III Hall 121,Chris Tweedt,0,CLOSED,,20,20,Full Time,Fall Semester 2026
8028,AMST 350,1,"Sex, Law and Society",3,,Lec,MWF,1000-1050,Lewis McMurran Hall ,Elizabeth Kaufer Busch,19,OPEN,,19,0,Full Time,Spring Semester 2027
8573,CHEM 122L,7,General Chemistry Lab II,1,"AINW, GE, OR",Lab,M,1300-1650,Forbes Hall 3002,Tarek Abdel-Fattah,1,OPEN,,24,23,Full Time,Spring Semester 2023
8596,CHEM 122L,4,General Chemistry Lab II,1,"AINW, GE, OR",Lab,W,1300-1650,Forbes Hall 3002,Sumie Shima,5,OPEN,,24,19,Adjunct,Spring Semester 2022
8848,HIST 122,3C,Mod Amer: Rcnst to Globl Power,3,"AIWT, GE, LETR, XAMS, XHIS",Lec,TR,0930-1045,Lewis McMurran Hall 307,James Allison,1,OPEN,,19,18,Full Time,Fall Semester 2023
8131,CHEM 242L,1,General Chemistry II Lab,1,"AINW, GE, OR",Lab,W,1300-1650,Forbes Hall 3009,Sumie Shima,6,OPEN,,24,18,Full Time,Fall Semester 2025
8796,MUSC 104,1,Chamber Ensemble,1,"GE, OR",Lab,,-,To Be Arranged ,Ben Corbin,6,OPEN,,10,4,Full Time,Fall Semester 2026
9417,HIST 499,2,Independent Study,1,LETR,Ind,,-,To Be Arranged ,Andrew Falk,-1,CLOSED,,0,1,Full Time,Spring Semester 2021
9390,HIST 499,3,Independent Study,1,LETR,Ind,,-,To Be Arranged ,Deirdre Harshman,-1,CLOSED,,0,1,Full Time,Fall Semester 2022
8560,LDSP 359,1,The Mind of a Leader,3,"LDSP, LOW",Lec,TR,1500-1615,Forbes Hall 3012,Nathan Harter,0,CLOSED,YES,19,19,Full Time,Spring Semester 2025
8769,MUSC 210,1,Aural Skills II,1,"LETR, LOW",Lab,TR,0930-1045,Ferguson Center for the Arts 210,Carol Cook,2,OPEN,YES,19,17,Adjunct,Spring Semester 2026
8597,CHEM 122L,3,General Chemistry Lab II,1,"AINW, GE, OR",Lab,T,1330-1720,Forbes Hall 3009,Tarek Abdel-Fattah,1,OPEN,,24,23,Full Time,Spring Semester 2024
8988,BUSN 251,3,Business Law I,3,,Lec,TR,1100-1215,Joseph W. Luter III Hall 137,Linda Ficht,0,CLOSED,,25,25,Full Time,Spring Semester 2024
8830,ENGL 353,1,WI: Writing for the Profession,3,WI,Lec,MWF,1300-1350,Lewis McMurran Hall 257,Jean Filetti,0,CLOSED,,19,19,Full Time,Fall Semester 2021
8158,BUSN 251,5,Business Law I,3,,Lec,MWF,1400-1450, ,Philip Hatchett,24,OPEN,,24,0,Full Time,Spring Semester 2027
4010,ENGL 392,S09,Travel and Culture,1,,Lec,,-,To Be Arranged ,Grace Godwin,1,OPEN,,16,15,Full Time,Extended Summer 2022
8314,CPSC 250L,4,Prog for Data Manipulation Lab,1,"AIIF, LOW, XPCE",Lab,W,1600-1745,Joseph W. Luter III Hall 258,Will Phelps,4,OPEN,YES,24,20,Adjunct,Spring Semester 2026
8314,CPSC 250L,4,Prog for Data Manipulation Lab,1,"AIIF, LOW, XPCE",Lab,W,1600-1745,Joseph W. Luter III Hall 258,Will Phelps,4,OPEN,YES,24,20,Full Time,Spring Semester 2026
8835,HIST 211,2,Comic Books & American Society,3,AICE,Lec,MWF,1400-1450,Lewis McMurran Hall 160,Brian Puaca,1,OPEN,,19,18,Full Time,Spring Semester 2022
8819,CPSC 250L,5,Prog for Data Manipulation Lab,1,"AIIF, XPCE",Lab,T,1800-1945,Joseph W. Luter III Hall 258,David Conner,3,OPEN,,24,21,Full Time,Spring Semester 2024
9107,HONR 490,2,HNRS WI: Probl in Modern World,3,"HON, WI",Lec,MW,1600-1715,Paul & Rosemary Trible Library 208,Jay Paul,0,CLOSED,,15,15,Full Time,Fall Semester 2024
9382,HIST 499,3,Independent Study,1,LETR,Ind,,-,To Be Arranged ,Sheri Shuck-Hall,-1,CLOSED,,0,1,Full Time,Spring Semester 2023
8180,BUSN 351,ON2,Business Law I,3,,Lec,TR,1100-1215,Synchronous Online Course ,Bret Bogenschneider,1,OPEN,,21,20,Full Time,Fall Semester 2020
8822,COND 533,1,Applied Music: Conducting,2,APPL,Lab,,-,To Be Arranged ,John Irving,-2,CLOSED,,0,2,Full Time,Fall Semester 2020
9286,CRIM 208,1,Crime in America,3,,Lec,MWF,1000-1050,Lewis McMurran Hall 212,Laine Briddell,0,CLOSED,,19,19,Full Time,Fall Semester 2020
8241,CHEM 361L,1,Analytical  Chemistry Lab,1,,Lab,R,0830-1220,Forbes Hall 3040,Ronald Quinlan,9,OPEN,,24,15,Adjunct,Spring Semester 2021
8417,ECON 202,1,Principles of Microeconomics,3,"AIII, GE, LLFE, SSCI, XLSB",Lec,MW,1800-1915,Freeman Center 201,Alex Hamed,1,OPEN,,36,35,Adjunct,Spring Semester 2021
8421,ECON 202,4,Principles of Microeconomics,3,"AIII, GE, LLFE, SSCI, XLSB",Lec,W,1800-2045,Lewis McMurran Hall 160,Sunita Hines,0,CLOSED,,19,19,Adjunct,Spring Semester 2021
8798,BIOL 391,6,WI: Junior Seminar,1,WI,Lec,F,1000-1050,Forbes Hall 2014,Russ Burke,0,CLOSED,,7,7,Full Time,Fall Semester 2020
8889,MUSC 216,ON1,Advanced Keyboard Skills,1,LETR,Lab,TR,1500-1615,Synchronous Online Course ,Seung-Hye Kim,6,OPEN,,13,7,,Spring Semester 2021
8638,HIST 350,ON1,American Indians,3,"AMER, LETR",Lec,MWF,0900-0950,Synchronous Online Course ,Sheri Shuck-Hall,-2,CLOSED,,19,21,Full Time,Spring Semester 2021
8191,ENGR 212L,2,Electronics Laboratory,1,,Lab,T,1800-2045,Joseph W. Luter III Hall 206,Hessam Keshtkar Vanashi,0,CLOSED,,18,18,Full Time,Spring Semester 2022
9193,ENGL 410,1,Southern American Literature,3,LETR,Lec,TR,1100-1215,Lewis McMurran Hall 200B,Andrew Rose,8,OPEN,,17,9,Full Time,Spring Semester 2022
8106,PHYS 152,1,College Physics II,3,"AINW, GE, XNAT",Lec,MWF,1100-1150,Joseph W. Luter III Hall 242,Leon Cole,8,OPEN,,33,25,Full Time,Fall Semester 2021
9233,PSYC 535,1,Exceptional Learner,3,,Lec,W,1600-1845,Forbes Hall 2012,Robert Sulzberger,1,OPEN,,16,15,Adjunct,Fall Semester 2021
8031,BIOL 391,2,WI: Junior Seminar,1,WI,Lec,W,0800-0850,Forbes Hall 2051,Russ Burke,2,OPEN,,7,5,Full Time,Fall Semester 2022
9095,MUSC 014,7,Applied Music Masterclass,0,APPL,Lab,,-,To Be Arranged ,Allegra Havens,-8,CLOSED,,0,8,Adjunct,Fall Semester 2021
8600,CHEM 103L,2R,Introductory Chemistry Lab I,1,"AINW, GE, NSCI, OR, SCIE",Lab,W,0800-1050,Forbes Hall 3009,Antony Okumu,9,OPEN,,24,15,Adjunct,Fall Semester 2021
9305,SAXO 334,1,Applied Music: Saxophone,2,APPL,Lab,,-,To Be Arranged ,Jason Hammers,-1,CLOSED,,0,1,Adjunct,Spring Semester 2022
8156,NEUR 305,1,Neurobiology,3,,Lec,MWF,1200-1250,Forbes Hall 2070E,Darlene Mitrano,34,OPEN,,48,14,Full Time,Fall Semester 2022
8565,CHEM 122,5,General Chemistry II,3,"AINW, GE, NSCI, OR, SCIE, XNAT",Lec,MWF,1300-1350,Forbes Hall 2070D,Amanda Thorsen,12,OPEN,,48,36,Full Time,Spring Semester 2023
9312,TRMB 432,1,Applied Music: Trombone,1,APPL,Lab,,-,To Be Arranged ,Christopher Espy,-1,CLOSED,,0,1,Adjunct,Spring Semester 2023
8919,HIST 112,4,The Modern World,3,"AIGM, LETR, LOW, XHIS",Lec,TR,0930-1045,Lewis McMurran Hall 307,Sara Black,1,OPEN,YES,22,21,Full Time,Spring Semester 2024
3040,TCHG 516,2,Curriculum and Instruction I,2,,Lec,MTWR,1630-1820,Lewis McMurran Hall 160,Cindy Connell,-1,CLOSED,,14,15,Adjunct,Summer Term 1 2024
8831,HIST 112,1M,The Modern World,3,"AIGM, LETR, XHIS",Lec,TR,1100-1215,Lewis McMurran Hall 200C,Xiao Xu,1,OPEN,,18,17,Full Time,Fall Semester 2023
9379,SPAN 101,4,Beginning Spanish I,3,"FLAN, GE",Lec,TR,0930-1045,Forbes Hall 2088,Sylvain Poosson,0,CLOSED,,19,19,Adjunct,Spring Semester 2023
8400,ENVS 525,1,Environmental Regulations,3,,Lec,R,1730-2020,Forbes Hall 2070D,Russ Burke,6,OPEN,,15,9,Full Time,Spring Semester 2025
8752,BUSN 300,1,Organizational Behavior,3,,Lec,MWF,1300-1350,Ferguson Center for the Arts 208,Ashley Fournet,-1,CLOSED,,26,27,Full Time,Fall Semester 2024
8443,BUSN 300,3,Organizational Behavior,3,,Lec,MWF,1200-1250,Forbes Hall 2014,Shoshana Schwartz,-5,CLOSED,,24,29,Full Time,Fall Semester 2025
8966,SOCL 490,1,WI:Senior Seminar,3,WI,Lec,TR,1100-1215,Joseph W. Luter III Hall 167,Andria Timmer,0,CLOSED,,12,12,Full Time,Fall Semester 2025
9129,COND 533,2,Applied Music: Conducting,2,APPL,Lab,,-,To Be Arranged ,Andrew Lusher,-1,CLOSED,,0,1,Adjunct,Fall Semester 2025
8740,MUSC 014,4,Applied Music Masterclass,0,"APPL, LOW",Lab,R,1230-1320,Ferguson Center for the Arts R118,Ben Corbin,-4,CLOSED,YES,0,4,Full Time,Spring Semester 2026
8989,SOCL 490,1,WI:Senior Seminar,3,WI,Lec,TR,1100-1215,Joseph W. Luter III Hall 157,Andrew Baird,-2,CLOSED,,15,17,Full Time,Spring Semester 2026
8383,ECON 202,1,Principles of Microeconomics,3,"AIII, GE, LLFE, SSCI, XLSB",Lec,TR,1500-1615,Joseph W. Luter III Hall 121,Zhaochen He,2,OPEN,,85,83,Full Time,Spring Semester 2026
8813,PHIL 240,1,Philosophy of Life’s Meaning,3,"AIWT, LOW",Lec,TR,1500-1615,Lewis McMurran Hall 212,Chris Tweedt,-4,CLOSED,YES,18,22,Full Time,Spring Semester 2026
8660,MUSC 014,4,Applied Music Masterclass,0,APPL,Lab,,-,To Be Arranged ,Christopher Espy,-2,CLOSED,,0,2,Adjunct,Fall Semester 2022
8841,PHYS 152,1,College Physics II,3,"AINW, GE, XNAT",Lec,TR,0930-1045,Science & Engineering Research ,Avery McElhenny,99,OPEN,,99,0,Adjunct,Spring Semester 2027
8248,BIOL 391,4,WI: Junior Seminar,1,"LOW, WI",Lec,F,1100-1150,Forbes Hall 1009,Anna Salazar,-1,CLOSED,YES,5,6,Full Time,Fall Semester 2024
2033,FNAR 128,1,Introduction to Digital Media,3,"AICE, LOW, XFAH",Stu,MTWRF,0900-1215,Torggler Fine Arts Center 228,Alan Skees,13,OPEN,YES,16,3,Full Time,May Term 2025
8323,FINC 422,2,Intermediate Corporate Finance,3,,Lec,TR,1630-1745,Joseph W. Luter III Hall 264,Nima Vafai,3,OPEN,,30,27,Full Time,Fall Semester 2025
8103,BIOL 391,2,WI: Junior Seminar,1,WI,Lec,M,1400-1450,Forbes Hall ,Russ Burke,7,OPEN,,7,0,Full Time,Spring Semester 2027
8662,LDSP 338,1,Leading Adaptive Change,3,LDSP,Lec,TR,0930-1045,Joseph W. Luter III Hall ,Sarah Chace,22,OPEN,,22,0,Full Time,Spring Semester 2027
8100,MATH 130,3M,Adv Algebra & Trigonometry,3,"GE, LLF, LLFM, MATH",Lec,MWF,1100-1150,Joseph W. Luter III Hall 269,Marla Williams,3,OPEN,,35,32,Full Time,Fall Semester 2024
8342,HIST 112,1M,The Modern World,3,"AIGM, LETR, LOW, XHIS",Lec,MWF,1000-1050,Lewis McMurran Hall 360,Bill Connell,0,CLOSED,YES,27,27,Full Time,Fall Semester 2025
8751,MATH 120,1,The Saga of Mathematics,3,"LLF, LLFM",Lec,TR,1330-1445,Lewis McMurran Hall 210,Sara Lenhart,3,OPEN,,19,16,Full Time,Spring Semester 2021
9181,TCHG 580,ON1,Technology for Teachers,1,,Lec,MW,1600-1900,Synchronous Online Course ,Pamela Johnson,-1,CLOSED,,16,17,Adjunct,Spring Semester 2023
2030,LDSP 350,ON1,Leadership in Sport,3,,Lec,,-,Asynchronous Online Course ,Lynn Shollen,1,OPEN,,16,15,Full Time,May Term 2021
8608,HIST 112,2C,The Modern World,3,"AIGM, LETR, XHIS",Lec,MWF,1200-1250,Lewis McMurran Hall 314,Deirdre Harshman,0,CLOSED,,19,19,Full Time,Fall Semester 2022
8085,BIOL 285L,2,Fund Human Anatmy & Phys Lb II,1,,Lab,W,1300-1650,Forbes Hall ,Dave Knight,20,OPEN,,20,0,Adjunct,Spring Semester 2027
8638,HIST 305,1,Hist Gender & Sexuality in US,3,AMER,Lec,TR,1330-1445,Lewis McMurran Hall 260,Laura Puaca,1,OPEN,,19,18,Full Time,Fall Semester 2022
8659,ENVS 540,1,Environmental Microbiology,4,,Lec,MWF,1100-1150,Forbes Hall 2070D,Jenn Knies,3,OPEN,,5,2,Full Time,Spring Semester 2022
8526,BIOL 301,1,Microbiology,3,,Lec,MWF,0900-0950,Forbes Hall 2070E,Jenn Knies,4,OPEN,,48,44,Full Time,Spring Semester 2023
8477,NEUR 305,1,Neurobiology,3,,Lec,MWF,1200-1250,Joseph W. Luter III Hall 269,Darlene Mitrano,-2,CLOSED,,27,29,Full Time,Fall Semester 2020
9302,PIAN 130,1,Applied Music: Piano,1,APPL,Lab,,-,To Be Arranged ,Ben Corbin,-1,CLOSED,,0,1,Full Time,Spring Semester 2023
8293,MATH 132,1,Concepts for Calculus,3,LLFM,Lec,MWF,1400-1450,Forbes Hall 3012,James Kelly,2,OPEN,,29,27,Full Time,Fall Semester 2021
8209,CPSC 140,1,Intro-Comp Prog w/ Multimedia,3,LLFR,Lec,TR,1100-1215,Joseph W. Luter III Hall 258,Mohammad Almalag,5,OPEN,,32,27,Full Time,Fall Semester 2025
9340,SAXO 233,1,Applied Music: Saxophone,2,APPL,Lab,,-,To Be Arranged ,Jason Hammers,-1,CLOSED,,0,1,Adjunct,Fall Semester 2023
9219,COND 533,1,Applied Music: Conducting,2,APPL,Lab,,-,To Be Arranged ,John Irving,-2,CLOSED,,0,2,Full Time,Fall Semester 2024
8898,SPAN 101,4,Beginning Spanish I,3,"FLAN, GE",Lec,MWF,1400-1450,Lewis McMurran Hall 260,Donna Freeman,-2,CLOSED,,19,21,Adjunct,Spring Semester 2025
9250,GERM 399,1,Independent Study,1,"LLF, LLFL",Ind,,-,To Be Arranged ,Laura Deiulio,-1,CLOSED,,0,1,Full Time,Spring Semester 2025
8530,HIST 112,ON1,The Modern World,3,"AIGM, LETR, XHIS",Lec,TR,1100-1215,Synchronous Online Course ,Xiao Xu,5,OPEN,,32,27,Full Time,Fall Semester 2020
9469,CHEM 499,6,Independent Study and Research,1,,Ind,,-,To Be Arranged ,Ronald Quinlan,-1,CLOSED,,0,1,Adjunct,Spring Semester 2021
8725,MUSC 125,1,Elementary Improv Skills,1,LOW,Lab,MWF,0800-0850,Ferguson Center for the Arts A183,Eldon Sully,10,OPEN,YES,24,14,Adjunct,Fall Semester 2025
8666,MATH 130,2,Adv Algebra & Trigonometry,3,"GE, LLF, LLFM, MATH",Lec,MWF,0900-0950,Joseph W. Luter III Hall 142,David McMorris,5,OPEN,,35,30,Adjunct,Fall Semester 2025
8569,SOCL 316,2,"Race, Ethnicity & Racism",3,,Lec,TR,1500-1615,Joseph W. Luter III Hall 167,Brooke Dinsmore,0,CLOSED,,19,19,Full Time,Fall Semester 2023
8148,CHEM 103L,2R,Introductory Chemistry Lab I,1,"AINW, GE, NSCI, OR, SCIE",Lab,W,0800-1050,Forbes Hall 3009,Antony Okumu,3,OPEN,,24,21,Adjunct,Fall Semester 2023
8318,ECON 303,2,Intrm Microeconomic Analysis,3,"AIII, XLSB",Lec,MWF,1000-1050,Lewis McMurran Hall 200B,Alex Hamed,1,OPEN,,12,11,Adjunct,Spring Semester 2025
9191,BIOL 391,11,WI: Junior Seminar,1,WI,Lec,W,1000-1050,Forbes Hall 1002,Zidong Li,0,CLOSED,,7,7,Full Time,Fall Semester 2025
8521,CRIM 208,1R,Crime in America,3,,Lec,MWF,1100-1150,Joseph W. Luter III Hall 269,Laine Briddell,-1,CLOSED,,35,36,Full Time,Fall Semester 2022
9095,SPAN 101,1,Beginning Spanish I,3,"FLAN, GE",Lec,MWF,1300-1350,Lewis McMurran Hall 316,Donna Freeman,0,CLOSED,,19,19,Adjunct,Spring Semester 2024
3023,MATH 130,1,Adv Algebra & Trigonometry,3,"GE, LLF, LLFM, MATH",Lec,MTWRF,0900-1130,Joseph W. Luter III Hall 372,Hongwei Chen,13,OPEN,,15,2,Full Time,Summer Term 1 2022
8891,BIOL 391,9,WI: Junior Seminar,1,WI,Lec,W,1000-1050,Forbes Hall 2051,Jessica Thompson,0,CLOSED,,7,7,Full Time,Spring Semester 2023
8975,SPAN 101,ON1,Beginning Spanish I,3,"FLAN, GE",Lec,MWF,0800-0850,Synchronous Online Course ,Sylvain Poosson,-1,CLOSED,,21,22,Adjunct,Fall Semester 2020
9347,CHEM 499,1,Independent Study and Research,1,,Ind,,-,To Be Arranged ,Ronald Quinlan,-1,CLOSED,,0,1,Full Time,Fall Semester 2024
9036,MUSC 125,1,Elementary Improv Skills I,1,,Lab,MWF,0800-0850,Ferguson Center for the Arts A183,Eldon Sully,6,OPEN,,24,18,Adjunct,Fall Semester 2024
8864,MUSC 014,12,Applied Music Masterclass,0,APPL,Lab,R,1230-1320,Ferguson Center for the Arts R106,Bonnie Kim,-5,CLOSED,,0,5,Adjunct,Spring Semester 2021
8096,BIOL 391,9,WI: Junior Seminar,1,WI,Lec,F,0900-0950,Forbes Hall 2043,Russ Burke,0,CLOSED,,7,7,Full Time,Spring Semester 2026
9335,MUSC 014,19,Applied Music Masterclass,0,APPL,Lab,M,1430-1520,Pope Chapel 109,John Shawger,-3,CLOSED,,0,3,Adjunct,Spring Semester 2021
2035,PSYC 201,ON1,Intro to Psychological Science,3,"AINW, GE, OR, SSCI",Lec,MTWRF,1300-1615,Synchronous Online Course ,Jeff Gibbons,9,OPEN,,17,8,Full Time,May Term 2024
8186,CHEM 401L,1,Inorganic Chemistry Lab,1,,Lab,T,1330-1720,Forbes Hall 3048,Tarek Abdel-Fattah,18,OPEN,,24,6,Full Time,Fall Semester 2023
9118,SOCL 201,2,Global Social Problems,3,"AIGM, GE, SSCI, XSOC",Lec,MWF,1400-1450,Joseph W. Luter III Hall 137,Yulia Garcia Sarduy,0,CLOSED,,19,19,Adjunct,Spring Semester 2021
9254,SPAN 101,5,Beginning Spanish I,3,"FLAN, GE",Lec,MWF,1400-1450,Lewis McMurran Hall 360,Michelle Grau,7,OPEN,,19,12,Adjunct,Spring Semester 2025
9222,CPSC 575,1,Android Mobile Computing,3,,Lec,MWF,0800-0850,Joseph W. Luter III Hall 258,Keith Perkins,10,OPEN,,14,4,Adjunct,Fall Semester 2021
9281,BASN 131,1,Applied Music: Bassoon,1,APPL,Lab,,-,To Be Arranged ,Laura Leisring,-1,CLOSED,,0,1,Adjunct,Fall Semester 2026
8505,LDSP 338,2,Leading Adaptive Change,3,"LDSP, LOW",Lec,MW,1600-1715,Joseph W. Luter III Hall 264,Jess Hench,0,CLOSED,YES,25,25,Adjunct,Fall Semester 2024
8530,BIOL 285L,1,Fund Human Anatmy & Phys Lb II,1,,Lab,M,1300-1650,Forbes Hall 2056,Dave Knight,18,OPEN,,24,6,Adjunct,Spring Semester 2022
8530,BIOL 285L,1,Fund Human Anatmy & Phys Lb II,1,,Lab,M,1300-1650,Forbes Hall 2056,Dave Knight,18,OPEN,,24,6,Full Time,Spring Semester 2022
2065,SOCL 390,ON1,Sociological Theory,3,,Lec,MTWRF,0900-1215,Synchronous Online Course ,Michael Lewis,7,OPEN,,15,8,Full Time,May Term 2021
9253,THEA 130,ON1,Private Voice,1,GE,Lec,,-,To Be Arranged ,Zebulum Roberts,-11,CLOSED,,0,11,Adjunct,Spring Semester 2021
8764,SPAN 101,2R,Beginning Spanish I,3,"FLAN, GE",Lec,MWF,0900-0950,Lewis McMurran Hall 207,Stephen Shaw,0,CLOSED,,19,19,Adjunct,Fall Semester 2022
